[2023-01-10 20:08:54,492] [Command] Playing sound select
[2023-01-10 20:08:54,494] [Command] Place a symbol on game 0d2ef832-21d2-4bed-8c73-1a035e28452c on position 1
[2023-01-10 20:08:54,506] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:08:54,518] [Command] Playing sound select
[2023-01-10 20:08:54,599] [Command] Chat message event 83424a37-4960-4c52-b3f4-ab075b7640ef confirmed
[2023-01-10 20:08:54,609] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:54,609] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:08:54,619] [Command] Playing sound select
[2023-01-10 20:10:56,413] [Command] Playing music main_theme
[2023-01-10 20:10:56,896] [Command] Move forward to lobby
[2023-01-10 20:10:57,976] [Command] Move to game list screen
[2023-01-10 20:10:57,994] [Command] Get Game List
[2023-01-10 20:10:58,353] [Command] Updating game list
[2023-01-10 20:10:58,996] [Command] Request joining game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:10:58,996] [Command] Join game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:10:59,083] [Command] Locally initializing game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:10:59,092] [Command] Playing sound start_game
[2023-01-10 20:10:59,741] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 0
[2023-01-10 20:10:59,741] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 0
[2023-01-10 20:10:59,828] [Command] Locally updating game
[2023-01-10 20:10:59,838] [Command] Processing 3 unprocessed server events
[2023-01-10 20:10:59,848] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 created a game
[2023-01-10 20:10:59,859] [Command] Player 8100b129-49c0-4ff1-9d08-3addfa632feb joined the game
[2023-01-10 20:10:59,888] [Command] Playing sound start_game
